Loads checkpoint by local backend from path: /home/afr/pose-models/exp386_vitpose_huge_coco/td-hm_ViTPose-huge_8xb64-210e_coco-256x192-e32adcd4_20230314.pth
The model and loaded state dict do not match exactly

unexpected key in source state_dict: backbone.cls_token

processed=100/15618 elapsed=3.2s images_per_second=31.17
processed=6200/15618 elapsed=173.9s images_per_second=35.66
processed=6300/15618 elapsed=176.7s images_per_second=35.66
processed=6400/15618 elapsed=179.5s images_per_second=35.66
processed=6500/15618 elapsed=182.3s images_per_second=35.66
processed=6600/15618 elapsed=185.1s images_per_second=35.66
processed=6700/15618 elapsed=187.9s images_per_second=35.66
processed=6800/15618 elapsed=190.7s images_per_second=35.66
processed=6900/15618 elapsed=193.5s images_per_second=35.66
processed=7000/15618 elapsed=196.3s images_per_second=35.66
processed=7100/15618 elapsed=199.1s images_per_second=35.66
processed=7200/15618 elapsed=201.9s images_per_second=35.66
processed=7300/15618 elapsed=204.7s images_per_second=35.66
processed=7400/15618 elapsed=207.5s images_per_second=35.66
processed=7500/15618 elapsed=210.3s images_per_second=35.66
processed=7600/15618 elapsed=213.1s images_per_second=35.66
processed=7700/15618 elapsed=215.9s images_per_second=35.66
processed=7800/15618 elapsed=218.8s images_per_second=35.66
processed=7900/15618 elapsed=221.6s images_per_second=35.66
processed=8000/15618 elapsed=224.4s images_per_second=35.66
processed=8100/15618 elapsed=227.2s images_per_second=35.66
processed=8200/15618 elapsed=230.0s images_per_second=35.65
processed=8300/15618 elapsed=232.8s images_per_second=35.65
processed=8400/15618 elapsed=235.6s images_per_second=35.65
processed=8500/15618 elapsed=238.4s images_per_second=35.65
processed=8600/15618 elapsed=241.2s images_per_second=35.65
processed=8700/15618 elapsed=244.0s images_per_second=35.65
processed=8800/15618 elapsed=246.8s images_per_second=35.65
processed=8900/15618 elapsed=249.6s images_per_second=35.65
processed=9000/15618 elapsed=252.4s images_per_second=35.65
processed=9100/15618 elapsed=255.3s images_per_second=35.65
processed=9200/15618 elapsed=258.1s images_per_second=35.65
processed=9300/15618 elapsed=260.9s images_per_second=35.65
processed=9400/15618 elapsed=263.7s images_per_second=35.65
processed=9500/15618 elapsed=266.5s images_per_second=35.65
processed=9600/15618 elapsed=269.3s images_per_second=35.65
processed=9700/15618 elapsed=272.1s images_per_second=35.65
processed=9800/15618 elapsed=274.9s images_per_second=35.64
processed=9900/15618 elapsed=277.7s images_per_second=35.64
processed=10000/15618 elapsed=280.6s images_per_second=35.64
processed=10100/15618 elapsed=283.4s images_per_second=35.64
processed=10200/15618 elapsed=286.2s images_per_second=35.64
processed=10300/15618 elapsed=289.0s images_per_second=35.64
processed=10400/15618 elapsed=291.8s images_per_second=35.64
processed=10500/15618 elapsed=294.6s images_per_second=35.64
processed=10600/15618 elapsed=297.4s images_per_second=35.64
processed=10700/15618 elapsed=300.2s images_per_second=35.64
processed=10800/15618 elapsed=303.0s images_per_second=35.64
processed=10900/15618 elapsed=305.9s images_per_second=35.64
processed=11000/15618 elapsed=308.7s images_per_second=35.64
processed=11100/15618 elapsed=311.5s images_per_second=35.64
processed=11200/15618 elapsed=314.3s images_per_second=35.63
processed=11300/15618 elapsed=317.1s images_per_second=35.63
processed=11400/15618 elapsed=319.9s images_per_second=35.63
processed=11500/15618 elapsed=322.7s images_per_second=35.63
processed=11600/15618 elapsed=325.5s images_per_second=35.63
processed=11700/15618 elapsed=328.3s images_per_second=35.63
processed=11800/15618 elapsed=331.1s images_per_second=35.63
processed=11900/15618 elapsed=334.0s images_per_second=35.63
processed=12000/15618 elapsed=336.8s images_per_second=35.63
processed=12100/15618 elapsed=339.6s images_per_second=35.63
processed=12200/15618 elapsed=342.4s images_per_second=35.63
processed=12300/15618 elapsed=345.2s images_per_second=35.63
processed=12400/15618 elapsed=348.0s images_per_second=35.63
processed=12500/15618 elapsed=350.8s images_per_second=35.63
processed=12600/15618 elapsed=353.6s images_per_second=35.63
processed=12700/15618 elapsed=356.4s images_per_second=35.63
processed=12800/15618 elapsed=359.2s images_per_second=35.63
processed=12900/15618 elapsed=362.0s images_per_second=35.63
processed=13000/15618 elapsed=364.9s images_per_second=35.63
processed=13100/15618 elapsed=367.7s images_per_second=35.63
processed=13200/15618 elapsed=370.5s images_per_second=35.63
processed=13300/15618 elapsed=373.3s images_per_second=35.63
processed=13400/15618 elapsed=376.1s images_per_second=35.63
processed=13500/15618 elapsed=378.9s images_per_second=35.63
processed=13600/15618 elapsed=381.7s images_per_second=35.63
processed=13700/15618 elapsed=384.5s images_per_second=35.63
processed=13800/15618 elapsed=387.3s images_per_second=35.63
processed=13900/15618 elapsed=390.1s images_per_second=35.63
processed=14000/15618 elapsed=392.9s images_per_second=35.63
processed=14100/15618 elapsed=395.7s images_per_second=35.63
processed=14200/15618 elapsed=398.6s images_per_second=35.63
processed=14300/15618 elapsed=401.4s images_per_second=35.63
processed=14400/15618 elapsed=404.2s images_per_second=35.63
processed=14500/15618 elapsed=407.0s images_per_second=35.63
processed=14600/15618 elapsed=409.8s images_per_second=35.63
processed=14700/15618 elapsed=412.6s images_per_second=35.63
processed=14800/15618 elapsed=415.4s images_per_second=35.63
processed=14900/15618 elapsed=418.2s images_per_second=35.63
processed=15000/15618 elapsed=421.0s images_per_second=35.63
processed=15100/15618 elapsed=423.9s images_per_second=35.62
processed=15200/15618 elapsed=426.7s images_per_second=35.62
processed=15300/15618 elapsed=429.5s images_per_second=35.62
processed=15400/15618 elapsed=432.3s images_per_second=35.62
processed=15500/15618 elapsed=435.1s images_per_second=35.62
processed=15600/15618 elapsed=437.9s images_per_second=35.62
processed=15618/15618 elapsed=438.4s images_per_second=35.62
completed output=/mnt1/afrderived/exp386_occluded_duke_vitpose_huge_train manifest_sha256=cc09eb6b0be91d731ce0fea77b8fa9d78e5404955ec740a1fc0f1ed00e6359f8
