Loads checkpoint by local backend from path: /home/afr/pose-models/exp386_vitpose_huge_coco/td-hm_ViTPose-huge_8xb64-210e_coco-256x192-e32adcd4_20230314.pth
The model and loaded state dict do not match exactly

unexpected key in source state_dict: backbone.cls_token

processed=100/12936 elapsed=3.2s images_per_second=30.78
processed=5300/12936 elapsed=149.0s images_per_second=35.58
processed=5400/12936 elapsed=151.8s images_per_second=35.58
processed=5500/12936 elapsed=154.6s images_per_second=35.58
processed=5600/12936 elapsed=157.4s images_per_second=35.58
processed=5700/12936 elapsed=160.2s images_per_second=35.57
processed=5800/12936 elapsed=163.0s images_per_second=35.57
processed=5900/12936 elapsed=165.9s images_per_second=35.57
processed=6000/12936 elapsed=168.7s images_per_second=35.57
processed=6100/12936 elapsed=171.5s images_per_second=35.57
processed=6200/12936 elapsed=174.3s images_per_second=35.57
processed=6300/12936 elapsed=177.1s images_per_second=35.57
processed=6400/12936 elapsed=179.9s images_per_second=35.57
processed=6500/12936 elapsed=182.7s images_per_second=35.57
processed=6600/12936 elapsed=185.5s images_per_second=35.57
processed=6700/12936 elapsed=188.4s images_per_second=35.57
processed=6800/12936 elapsed=191.2s images_per_second=35.57
processed=6900/12936 elapsed=194.0s images_per_second=35.57
processed=7000/12936 elapsed=196.8s images_per_second=35.57
processed=7100/12936 elapsed=199.6s images_per_second=35.57
processed=7200/12936 elapsed=202.4s images_per_second=35.57
processed=7300/12936 elapsed=205.2s images_per_second=35.57
processed=7400/12936 elapsed=208.0s images_per_second=35.57
processed=7500/12936 elapsed=210.8s images_per_second=35.57
processed=7600/12936 elapsed=213.7s images_per_second=35.57
processed=7700/12936 elapsed=216.5s images_per_second=35.57
processed=7800/12936 elapsed=219.3s images_per_second=35.57
processed=7900/12936 elapsed=222.1s images_per_second=35.57
processed=8000/12936 elapsed=224.9s images_per_second=35.57
processed=8100/12936 elapsed=227.7s images_per_second=35.57
processed=8200/12936 elapsed=230.5s images_per_second=35.57
processed=8300/12936 elapsed=233.4s images_per_second=35.57
processed=8400/12936 elapsed=236.2s images_per_second=35.57
processed=8500/12936 elapsed=239.0s images_per_second=35.57
processed=8600/12936 elapsed=241.8s images_per_second=35.57
processed=8700/12936 elapsed=244.6s images_per_second=35.57
processed=8800/12936 elapsed=247.4s images_per_second=35.57
processed=8900/12936 elapsed=250.2s images_per_second=35.56
processed=9000/12936 elapsed=253.1s images_per_second=35.56
processed=9100/12936 elapsed=255.9s images_per_second=35.56
processed=9200/12936 elapsed=258.7s images_per_second=35.56
processed=9300/12936 elapsed=261.5s images_per_second=35.56
processed=9400/12936 elapsed=264.4s images_per_second=35.56
processed=9500/12936 elapsed=267.2s images_per_second=35.56
processed=9600/12936 elapsed=270.0s images_per_second=35.56
processed=9700/12936 elapsed=272.8s images_per_second=35.56
processed=9800/12936 elapsed=275.6s images_per_second=35.56
processed=9900/12936 elapsed=278.4s images_per_second=35.56
processed=10000/12936 elapsed=281.3s images_per_second=35.55
processed=10100/12936 elapsed=284.1s images_per_second=35.55
processed=10200/12936 elapsed=286.9s images_per_second=35.55
processed=10300/12936 elapsed=289.8s images_per_second=35.55
processed=10400/12936 elapsed=292.6s images_per_second=35.54
processed=10500/12936 elapsed=295.4s images_per_second=35.54
processed=10600/12936 elapsed=298.2s images_per_second=35.54
processed=10700/12936 elapsed=301.0s images_per_second=35.54
processed=10800/12936 elapsed=303.9s images_per_second=35.54
processed=10900/12936 elapsed=306.7s images_per_second=35.54
processed=11000/12936 elapsed=309.5s images_per_second=35.54
processed=11100/12936 elapsed=312.3s images_per_second=35.54
processed=11200/12936 elapsed=315.1s images_per_second=35.54
processed=11300/12936 elapsed=317.9s images_per_second=35.54
processed=11400/12936 elapsed=320.7s images_per_second=35.54
processed=11500/12936 elapsed=323.5s images_per_second=35.54
processed=11600/12936 elapsed=326.4s images_per_second=35.54
processed=11700/12936 elapsed=329.2s images_per_second=35.54
processed=11800/12936 elapsed=332.0s images_per_second=35.54
processed=11900/12936 elapsed=334.8s images_per_second=35.54
processed=12000/12936 elapsed=337.6s images_per_second=35.54
processed=12100/12936 elapsed=340.4s images_per_second=35.54
processed=12200/12936 elapsed=343.2s images_per_second=35.54
processed=12300/12936 elapsed=346.1s images_per_second=35.54
processed=12400/12936 elapsed=348.9s images_per_second=35.54
processed=12500/12936 elapsed=351.7s images_per_second=35.54
processed=12600/12936 elapsed=354.5s images_per_second=35.54
processed=12700/12936 elapsed=357.3s images_per_second=35.54
processed=12800/12936 elapsed=360.2s images_per_second=35.54
processed=12900/12936 elapsed=363.0s images_per_second=35.54
processed=12936/12936 elapsed=364.0s images_per_second=35.53
completed output=/mnt1/afrderived/exp388_market_vitpose_huge_train manifest_sha256=cc297ce97325b042a18e0b20512f9fd24322b72300ad8d66c88c0773239f3134
